nome,cpf,idade,data,estado,endereco
Antônio Nogueira,061.387.542-71,19,2004-08-11,PERNAMBUCO,"quadra de da mata, 49
ouro minas
00289438 cavalcanti da prata / mt"
Sophia Monteiro,601.245.398-15,90,1933-10-22,MINAS GERAIS,"núcleo araújo, 155
lindéia
82317-263 campos / pa"
Dr. Leandro Silva,497.058.612-85,56,1967-12-07,PERNAMBUCO,"estação silva, 18
serra
11636951 das neves do amparo / am"
Amanda Farias,185.243.670-08,99,1924-07-31,RIO DE JANEIRO,"praia lavínia moraes, 29
conjunto jatoba
41571-037 da luz / rj"
Srta. Luna Peixoto,912.405.387-23,53,1970-12-14,AMAPÁ,"fazenda rafaela costela, 37
havaí
52291-254 rocha / ce"
Sr. Igor Campos,183.502.746-62,54,1969-08-17,TOCANTINS,"fazenda ferreira, 849
lagoa
49587-081 vieira do norte / ap"
Maria Sophia Correia,948.731.065-75,98,1925-10-03,TOCANTINS,"residencial alana dias, 51
vitoria
01961759 gomes de da cruz / to"
Bruno Da Cruz,293.415.687-73,22,2001-06-02,ESPÍRITO SANTO,"rua evelyn da cunha, 2
alta tensão 1ª seção
88048-422 da rocha do amparo / es"
Amanda Cavalcanti,351.698.247-00,55,1968-12-13,RORAIMA,"fazenda de duarte, 99
são sebastião
38375-389 pires / ac"
Bruno Melo,721.469.053-52,58,1965-06-26,RORAIMA,"trevo de da costa, 7
esplanada
45022-514 fernandes de costela / ac"
Dra. Elisa Nunes,875.013.249-05,35,1989-01-12,RIO GRANDE DO NORTE,"vale erick moreira, 48
vila nova cachoeirinha 2ª seção
07868-934 da cunha / ap"
Calebe Ramos,942.816.307-40,59,1964-05-05,RIO GRANDE DO SUL,"parque de moraes, 36
gutierrez
82171525 peixoto de fernandes / to"
Sr. Arthur Moraes,306.927.841-87,80,1943-10-01,RORAIMA,"passarela lima, 87
jatobá
09721-169 viana alegre / rj"
Júlia Silveira,913.476.508-57,73,1950-11-18,RIO DE JANEIRO,"pátio vitor gabriel rocha
são joão batista
91484973 pereira da prata / sc"
Sra. Isabelly Silva,732.568.049-00,34,1989-08-28,PARÁ,"rodovia agatha lopes, 7
vila são gabriel
31198992 da luz / df"
Dr. Otávio Azevedo,457.821.069-30,79,1944-11-09,PERNAMBUCO,"aeroporto de ferreira, 2
santa helena
28302071 oliveira das flores / ce"
Maria Cecília Aragão,264.571.809-49,99,1925-01-09,SÃO PAULO,"trevo aragão, 535
salgado filho
51800-056 carvalho da prata / go"
Noah Da Rosa,742.960.813-22,58,1965-05-02,PERNAMBUCO,"avenida ferreira, 7
antonio ribeiro de abreu 1ª seção
17090-502 rodrigues / df"
Sra. Laura Azevedo,540.326.187-71,37,1986-06-16,RIO GRANDE DO NORTE,"viaduto marcelo ramos
universo
53602-558 cunha do galho / sp"
Dr. Francisco Moreira,702.483.165-08,24,1999-08-25,RONDÔNIA,"núcleo silva, 7
jaraguá
74430032 silveira de goiás / ce"
Mariane Das Neves,912.546.308-05,44,1979-10-27,PIAUÍ,"rodovia de freitas, 782
parque são josé
53886812 das neves das flores / sc"
Enzo Monteiro,309.546.872-56,33,1990-09-15,PIAUÍ,"quadra silveira, 76
joão paulo ii
90482-858 rezende dos dourados / mg"
Diego Da Rocha,093.845.726-83,36,1988-01-24,PIAUÍ,"conjunto da rosa, 22
pindura saia
13568-214 ramos da serra / ms"
Ana Laura Da Cruz,798.526.104-49,86,1937-04-28,ESPÍRITO SANTO,"parque rodrigues
vila da amizade
99639-698 costa / ro"
Ana Sophia Gomes,384.961.725-46,44,1979-07-27,PERNAMBUCO,"lagoa porto, 44
unidas
73111211 alves / go"
Ana Laura Costa,502.176.894-85,52,1971-08-17,RIO GRANDE DO SUL,"vila sales, 913
bela vitoria
24276968 monteiro / sp"
Felipe Souza,187.950.346-84,55,1968-09-30,PARÁ,"setor peixoto, 47
palmeiras
57575529 da cruz / se"
Luana Novaes,287.430.169-87,78,1945-12-05,CEARÁ,"parque luiz gustavo da conceição, 34
santa margarida
94925-425 rodrigues alegre / rs"
Sra. Yasmin Nogueira,360.925.841-15,48,1975-10-29,GOIÁS,"lago de rocha, 482
belmonte
74471-918 rocha da mata / pe"
Benício Melo,904.652.781-67,21,2002-12-07,RIO GRANDE DO NORTE,"recanto maitê pereira
vila suzana primeira seção
94645-027 silva / df"
Daniela Aragão,726.304.851-53,58,1965-07-06,PARAÍBA,"feira otávio pereira, 93
piraja
78140-773 correia / rr"
Davi Luiz Sales,740.692.138-13,44,1979-07-24,AMAPÁ,"trecho joão gabriel pires, 64
nova pampulha
61230820 souza da serra / rs"
Milena Souza,904.358.126-70,85,1938-10-08,BAHIA,"praça de ribeiro, 9
santa inês
38053-049 azevedo / sp"
Maria Eduarda Ferreira,438.256.190-60,74,1949-09-28,RONDÔNIA,"passarela de caldeira
vila sesc
50710-500 cunha de dias / ap"
Sr. Diogo Lima,302.846.957-00,29,1994-12-06,MATO GROSSO,"estrada danilo monteiro
conjunto califórnia ii
38793-887 da mata alegre / ba"
Dr. Carlos Eduardo Araújo,496.802.735-47,39,1984-11-09,PARANÁ,"rodovia sophia rodrigues, 88
vila independencia 2ª seção
76814388 pires / rr"
Marina Gomes,934.587.620-00,98,1925-12-25,SANTA CATARINA,"lagoa souza
copacabana
16768543 monteiro / es"
Gustavo Henrique Duarte,254.130.968-60,23,2000-05-29,MINAS GERAIS,"área ana sophia pereira, 32
minas caixa
69026-029 caldeira do oeste / to"
Caio Ramos,832.941.657-73,27,1996-11-06,PARAÍBA,"viaduto de sales, 92
buraco quente
13458-643 nunes / al"
Rafael Nunes,462.971.358-19,88,1935-04-10,MATO GROSSO,"núcleo monteiro, 504
são bernardo
15990-096 porto / to"
Enzo Gabriel Cardoso,726.801.549-67,37,1987-01-26,SÃO PAULO,"núcleo ribeiro
vila nova cachoeirinha 1ª seção
13917300 ferreira das flores / pe"
Davi Cardoso,065.781.243-90,18,2005-07-25,RIO GRANDE DO SUL,"praça ana júlia rezende, 38
vila coqueiral
41709963 silveira / pa"
Daniel Pires,274.530.968-47,39,1984-06-13,PARAÍBA,"avenida bruna rodrigues, 724
diamante
12678-518 rezende do galho / es"
Brenda Da Mata,532.841.679-19,44,1980-02-29,CEARÁ,"pátio rocha, 75
havaí
43098627 da cunha / ac"
Samuel Dias,852.910.634-24,38,1985-11-17,RIO GRANDE DO NORTE,"viaduto enzo gabriel moreira, 72
vila real 2ª seção
01069636 sales de goiás / ce"
Gustavo Henrique Da Costa,917.230.485-50,19,2005-03-08,ALAGOAS,"residencial ribeiro, 60
flamengo
74294090 ribeiro / ro"
Theo Fogaça,091.584.236-05,48,1975-06-26,ACRE,"travessa cardoso, 95
alta tensão 1ª seção
42836-344 lima / mt"
Sra. Alexia Carvalho,483.106.527-71,24,2000-03-31,RONDÔNIA,"quadra lorenzo pires
vila olhos d'água
03485618 da rosa de correia / ac"
Juliana Martins,432.807.956-56,84,1939-06-04,BAHIA,"campo de souza
vila jardim são josé
04692667 carvalho / rr"
Luiz Gustavo Da Rosa,280.753.914-97,85,1938-06-09,PARANÁ,"via de da paz, 5
dona clara
30465-337 oliveira de goiás / al"
Gabriela Freitas,367.520.481-26,30,1994-03-10,RIO GRANDE DO NORTE,"trevo carvalho, 9
grajaú
40077-715 moraes da serra / ba"
Enzo Gabriel Vieira,812.564.079-76,22,2002-01-28,RIO DE JANEIRO,"travessa novaes
boa vista
29032951 aragão / to"
Srta. Luna Nascimento,815.732.049-60,69,1954-06-13,RIO DE JANEIRO,"passarela de nascimento, 916
joão paulo ii
86360-200 duarte do amparo / al"
Sophie Da Mata,971.238.045-97,70,1953-04-10,MARANHÃO,"avenida de almeida, 78
vila atila de paiva
41400947 da cunha / al"
Clarice Alves,973.846.520-65,22,2001-12-02,MATO GROSSO,"avenida heloísa costa
cabana do pai tomás
54742254 cavalcanti / ac"
Catarina Rodrigues,138.640.975-84,84,1939-11-26,PARANÁ,"núcleo farias, 97
lourdes
55915-124 gomes de souza / rr"
Antônio Vieira,017.236.854-53,89,1934-10-25,SERGIPE,"favela de lopes, 473
lagoinha leblon
41398-890 peixoto / pr"
Dr. Nicolas Da Conceição,105.236.748-80,25,1998-06-04,RORAIMA,"quadra mariana costela, 87
grajaú
64615642 ferreira / ba"
Maria Alice Da Costa,290.738.654-92,88,1936-02-17,AMAPÁ,"rua cardoso, 76
olhos d'água
25842688 barros alegre / ma"
Sr. Lucca Martins,906.435.128-70,56,1967-08-30,TOCANTINS,"pátio paulo da rosa, 93
belvedere
57898-196 melo / to"
João Pedro Costa,532.940.718-41,68,1955-09-12,CEARÁ,"feira cardoso
conjunto minas caixa
88969-195 da mata / rn"
Maitê Gonçalves,034.719.856-20,97,1926-09-20,ACRE,"distrito giovanna rodrigues, 37
marieta 3ª seção
62839-349 da mata / pr"
Ana Laura Ferreira,326.490.578-74,72,1952-01-29,PARANÁ,"estrada de ramos
garças
28169898 santos das pedras / ro"
Sabrina Da Mata,172.548.960-02,30,1994-01-31,RIO GRANDE DO SUL,"viela de moraes, 56
vila maria
42762903 fogaça de goiás / ms"
Alexandre Das Neves,183.904.625-24,93,1930-07-19,ACRE,"área de novaes, 52
itapoa
66232412 fogaça do oeste / es"
Isadora Da Cunha,471.928.063-31,54,1969-08-31,MINAS GERAIS,"viaduto freitas, 622
jardim atlântico
10686-144 da rocha paulista / pe"
Dr. Luigi Fernandes,834.265.197-55,72,1951-07-16,AMAPÁ,"distrito thomas pires, 77
bairro das indústrias ii
44279-855 da cunha / mt"
Sr. Yago Cavalcanti,758.901.423-05,93,1931-03-01,AMAPÁ,"estrada melo
vila independencia 3ª seção
33664610 cardoso / am"
Carolina Peixoto,396.720.418-96,63,1960-06-26,AMAZONAS,"loteamento dias, 21
camponesa 1ª seção
82741936 da rosa / rn"
Ana Lívia Porto,067.412.835-44,74,1949-09-26,MATO GROSSO DO SUL,"colônia vieira, 6
milionario
96648865 moraes / se"
Henrique Da Mata,896.724.305-74,33,1990-12-25,RIO DE JANEIRO,"aeroporto vinicius rezende, 18
conjunto são francisco de assis
55527-291 da paz do campo / pr"
Enrico Aragão,490.851.376-75,93,1930-06-30,BAHIA,"praça almeida, 95
vila novo são lucas
69709-867 moraes / ap"
Milena Cavalcanti,523.064.179-70,25,1998-09-15,TOCANTINS,"trecho kevin castro, 70
são geraldo
98131993 sales / pr"
Davi Lucca Melo,731.984.025-14,96,1928-02-22,GOIÁS,"passarela kamilly moreira, 704
cardoso
41864-156 da cunha / sp"
Clarice Fernandes,192.763.485-73,87,1936-12-27,PARÁ,"vereda jesus, 7
esplanada
50230404 teixeira verde / sp"
Dr. Luiz Fernando Das Neves,146.387.259-37,58,1966-02-21,CEARÁ,"viaduto de martins, 24
vila antena
55987-196 araújo do amparo / ro"
Caio Azevedo,428.759.361-82,73,1951-03-04,SÃO PAULO,"largo cardoso, 23
vila nova gameleira 2ª seção
29717727 ferreira / al"
Enrico Novaes,457.692.038-38,73,1950-11-08,PARÁ,"vila heloísa barbosa, 666
conjunto são francisco de assis
19537340 farias / rn"
Ana Clara Moreira,075.412.368-53,87,1936-12-15,PIAUÍ,"residencial de aragão
andiroba
91004-368 cardoso / sc"
Enrico Ribeiro,965.734.108-66,26,1998-02-24,PARANÁ,"loteamento lopes, 2
vila satélite
54279721 ramos da prata / ce"
Evelyn Aragão,548.372.061-07,85,1938-04-19,ESPÍRITO SANTO,"estrada rebeca caldeira, 440
marçola
11027-170 freitas grande / go"
Thales Moreira,406.135.728-07,63,1960-07-31,RORAIMA,"quadra farias
jardim guanabara
71294724 caldeira / ro"
Heitor Mendes,097.426.351-61,56,1968-01-13,AMAZONAS,"lagoa de farias
alta tensão 2ª seção
86838429 pires / al"
Sarah Nascimento,938.574.026-10,40,1983-05-14,RONDÔNIA,"largo de da costa, 400
vila jardim alvorada
20608-388 cardoso de cardoso / ce"
Sra. Yasmin Melo,510.274.968-49,18,2005-07-22,PERNAMBUCO,"loteamento almeida, 821
conjunto santa maria
15401946 nunes de goiás / to"
Sr. Marcelo Costela,895.603.427-38,23,2000-08-16,PIAUÍ,"chácara clarice da costa, 135
cardoso
90569-230 da luz verde / ba"
Maria Cecília Araújo,752.943.601-52,76,1948-03-20,MINAS GERAIS,"distrito nathan melo, 3
universitário
45685584 almeida / pa"
Enzo Gabriel Ribeiro,965.231.708-02,63,1960-06-20,RORAIMA,"recanto nunes, 87
vila união
40623-455 moura / ap"
Miguel Da Rosa,168.907.235-03,43,1980-04-24,GOIÁS,"esplanada carvalho, 8
paulo vi
43997-378 correia / ce"
Maria Vitória Ferreira,914.863.027-69,23,2000-11-09,CEARÁ,"lago lima, 6
providencia
64509-958 porto / sp"
Sr. Vitor Gabriel Gomes,348.902.157-60,48,1975-11-29,ALAGOAS,"vale costela, 49
jonas veiga
14400-610 nogueira / mt"
Bianca Pinto,541.908.362-06,80,1943-05-29,GOIÁS,"lagoa sales, 43
vila santa monica 2ª seção
48899443 jesus / al"
Igor Melo,519.307.648-39,97,1927-03-31,SÃO PAULO,"viaduto nogueira
grota
13502920 ferreira do norte / ro"
Sra. Vitória Carvalho,528.049.736-38,35,1989-02-20,MATO GROSSO,"jardim fernanda moura, 767
cdi jatoba
32504010 moreira dos dourados / am"
Sofia Duarte,412.835.697-28,18,2005-07-09,RIO GRANDE DO NORTE,"morro isaac freitas, 543
vila nova cachoeirinha 2ª seção
97116686 costela / rr"
Brenda Nogueira,160.294.358-33,56,1967-07-23,AMAZONAS,"pátio de almeida, 4
mala e cuia
08990015 aragão da mata / to"
Rafael Fogaça,569.137.028-68,93,1931-03-04,MARANHÃO,"setor de da rosa, 401
nova vista
61631-368 cavalcanti do amparo / sp"
Ana Nascimento,295.701.634-61,72,1951-11-22,AMAPÁ,"chácara de martins, 14
nossa senhora do rosário
72885-747 moreira / rn"
Dr. Juan Da Rocha,475.683.021-80,74,1949-10-02,AMAZONAS,"ladeira de da mota, 16
vila jardim leblon
67696-414 nascimento do amparo / mt"
Ana Laura Rocha,531.672.409-70,32,1992-01-11,PIAUÍ,"sítio thomas rodrigues, 41
são damião
21922138 pinto / al"
Maria Alice Da Rocha,906.324.817-22,90,1933-12-22,SÃO PAULO,"travessa de correia, 46
guarani
34453-251 souza / ac"
Elisa Lopes,790.412.658-30,99,1924-07-02,MATO GROSSO,"passarela alexandre da cunha
vila coqueiral
15467-423 cunha / rr"
Davi Lucca Pereira,597.038.421-60,70,1954-01-28,AMAZONAS,"jardim de barros, 16
vila califórnia
19490812 teixeira alegre / ce"
Marina Fogaça,410.275.689-20,61,1962-04-07,GOIÁS,"praça luiz henrique correia, 81
guaratã
57294-260 pereira / pe"
Bernardo Ramos,105.689.243-98,80,1943-09-03,AMAPÁ,"lagoa luiza gonçalves, 979
piratininga
04066541 da mata / se"
Ana Lívia Lopes,971.503.862-02,63,1960-11-10,CEARÁ,"parque de barbosa, 57
anchieta
16750-400 lima / go"
Miguel Silva,920.437.568-00,40,1984-02-28,RONDÔNIA,"ladeira das neves, 9
nova floresta
61985548 carvalho do sul / pe"
Sr. Arthur Da Cruz,693.084.275-38,83,1940-06-24,SERGIPE,"lago de cavalcanti
vila betânia
10086-430 nunes / to"
Julia Da Mota,571.402.968-20,75,1948-09-30,RIO DE JANEIRO,"feira nogueira, 68
santo antônio
23309816 da cunha do campo / to"
Agatha Rocha,853.279.160-30,52,1971-11-01,ALAGOAS,"setor de dias
são benedito
48841767 sales da serra / rs"
Isabel Cardoso,608.127.493-40,95,1928-08-11,MATO GROSSO DO SUL,"campo da mata, 42
morro dos macacos
65731-340 santos / mg"
Marcos Vinicius Moura,451.293.876-19,64,1959-11-29,RIO DE JANEIRO,"parque dias, 687
paulo vi
49685-024 mendes / pr"
Levi Da Cunha,718.469.350-75,98,1925-04-28,ALAGOAS,"colônia de viana, 6
pongelupe
67120-856 jesus alegre / se"
Cauã Vieira,427.103.569-61,76,1947-07-29,PIAUÍ,"via da mata
bernadete
38006-140 campos / ro"
Maria Alice Ferreira,105.239.746-80,37,1986-05-01,AMAPÁ,"praça de duarte, 194
guarani
14287-231 campos das flores / mt"
Dra. Isabelly Souza,725.469.810-30,33,1990-05-23,DISTRITO FEDERAL,"campo de moura, 60
primeiro de maio
96794431 martins grande / rn"
Heitor Rezende,174.689.053-39,72,1951-09-28,ACRE,"área duarte, 628
conjunto lagoa
02753538 caldeira / rr"
Maria Vitória Jesus,493.861.520-70,47,1977-02-16,RORAIMA,"sítio de moura, 13
paraíso
39110-733 souza do norte / rs"
Emanuel Duarte,762.084.591-76,21,2003-02-23,SANTA CATARINA,"rua de fogaça, 71
ouro preto
35703-947 da paz da mata / am"
Ian Lima,163.458.907-66,86,1937-07-05,RORAIMA,"rua de martins, 9
união
15652-188 castro / ac"
Vitor Alves,687.901.342-22,27,1996-06-13,DISTRITO FEDERAL,"esplanada ana laura oliveira, 667
ribeiro de abreu
79395-958 farias das flores / df"
Rafael Ramos,946.581.073-84,69,1954-05-17,ALAGOAS,"esplanada almeida, 4
vila fumec
39123310 silveira grande / pr"
Ryan Da Cunha,412.637.059-52,86,1937-11-04,SERGIPE,"morro de cardoso
camponesa 2ª seção
49627-572 dias de da paz / go"
Maria Da Cunha,539.201.486-06,77,1946-10-07,RIO DE JANEIRO,"residencial de duarte
vila união
83800-181 jesus do sul / pe"
Srta. Milena Cardoso,832.047.961-40,66,1958-03-07,BAHIA,"praça almeida, 71
capitão eduardo
13730300 ferreira dos dourados / rj"
Bryan Ramos,043.619.582-89,30,1993-10-30,RORAIMA,"praia costa, 35
jardim leblon
29456317 lopes / go"
Luigi Santos,273.940.165-52,37,1987-01-04,AMAPÁ,"via luigi peixoto, 61
são gabriel
48847273 porto da mata / ap"
Isabella Duarte,023.856.714-17,43,1980-09-28,ESPÍRITO SANTO,"estrada diogo da mata, 91
vila nova cachoeirinha 3ª seção
89436-034 vieira do oeste / pi"
Sophie Azevedo,214.796.580-49,97,1926-08-11,AMAZONAS,"rua kaique freitas, 8
universo
75626-745 barros / rr"
Matheus Carvalho,592.863.174-09,60,1963-08-31,MINAS GERAIS,"viela de almeida
união
65843844 barbosa / rn"
Júlia Da Cruz,714.093.856-39,94,1930-02-12,GOIÁS,"lagoa joão pedro alves
das industrias i
30340295 oliveira de goiás / pb"
Vitor Peixoto,489.215.063-06,76,1947-07-24,MATO GROSSO DO SUL,"trevo de cardoso, 40
vale do jatoba
22565-264 da cunha do norte / rs"
Amanda Castro,305.817.249-41,43,1980-04-05,RORAIMA,"favela erick pereira, 672
vila copacabana
16489668 barros / am"
Lucas Lima,240.719.568-01,91,1932-06-16,BAHIA,"vale igor castro, 928
maravilha
19728761 pereira do oeste / ba"
Raquel Ramos,052.793.146-25,66,1957-10-16,RORAIMA,"vereda de costa, 27
madre gertrudes
11830634 gonçalves / rn"
Dra. Rebeca Nascimento,431.987.625-37,82,1941-04-07,TOCANTINS,"residencial nogueira, 954
vila oeste
79622-042 sales do norte / pb"
Theo Da Conceição,846.571.329-46,29,1995-03-22,ACRE,"fazenda maria ribeiro, 81
vila são paulo
48192917 silva / se"
Thiago Da Cunha,631.409.258-24,90,1933-06-08,RONDÔNIA,"viela de aragão, 291
união
68336231 moraes de pires / rj"
Davi Lucas Moreira,169.854.207-02,59,1964-12-30,SERGIPE,"estrada de da costa, 92
vila do pombal
01699471 nascimento de cavalcanti / pa"
Helena Costela,950.372.681-68,28,1996-02-01,RORAIMA,"colônia de fogaça, 78
vila aeroporto jaraguá
63760-406 rezende da praia / ac"
Beatriz Peixoto,243.718.069-96,80,1943-04-11,BAHIA,"campo de moura, 904
alto caiçaras
12573-093 da costa de souza / pe"
Luigi Fernandes,846.057.921-20,48,1976-02-02,RORAIMA,"estação igor cunha, 21
pilar
56540380 peixoto / pb"
Gabrielly Almeida,831.540.927-14,66,1958-01-11,PARÁ,"estrada da conceição, 23
indaiá
00460-397 pires de pereira / ms"
Samuel Sales,439.526.781-55,75,1948-08-19,RONDÔNIA,"morro de costela, 73
vila da luz
54910873 da rosa / mg"
Dr. Otávio Costa,095.216.837-59,36,1987-08-09,CEARÁ,"chácara da conceição, 2
juliana
64511082 campos das flores / ba"
Srta. Ana Beatriz Da Mata,429.807.615-67,91,1933-01-28,ALAGOAS,"feira de martins, 79
vitoria da conquista
46900111 campos alegre / pa"
João Rodrigues,594.081.276-76,25,1999-02-19,PERNAMBUCO,"colônia duarte, 56
marmiteiros
09414-573 vieira de lopes / pe"
Nathan Farias,521.097.438-32,39,1985-01-12,MATO GROSSO,"travessa joana gonçalves, 44
lajedo
43222-218 barbosa / al"
Dr. Rafael Pereira,581.967.342-55,56,1967-07-15,AMAPÁ,"sítio isis campos, 81
distrito industrial do jatoba
70530-763 da cunha grande / ac"
Júlia Pereira,871.263.590-12,29,1995-02-08,BAHIA,"lagoa santos
petropolis
36901-640 da cunha / mt"
Dra. Laura Barbosa,031.769.482-04,67,1956-12-23,MINAS GERAIS,"ladeira de moura, 84
nova suíça
58827544 almeida de da mota / rr"
Juliana Pinto,385.410.967-93,70,1953-12-18,RIO GRANDE DO SUL,"rodovia sales, 21
vila canto do sabiá
79051-262 mendes / pi"
Joana Monteiro,138.960.745-39,55,1968-09-29,ACRE,"parque de costela, 668
aguas claras
24355112 duarte / to"
Dr. Yago Da Rocha,698.157.432-28,75,1948-06-15,RONDÔNIA,"fazenda cavalcanti, 859
alto barroca
69950997 rezende de goiás / mt"
Miguel Nogueira,869.312.407-22,56,1967-07-12,PIAUÍ,"quadra de ferreira
cenaculo
49974-369 barbosa alegre / pi"
Isadora Da Rocha,725.134.690-70,95,1929-02-20,AMAPÁ,"via igor da mata, 81
laranjeiras
85218769 correia / es"
Clara Costela,380.179.245-50,81,1942-07-13,ALAGOAS,"trevo joão pedro araújo, 7
sagrada família
68500851 cardoso do amparo / df"
Dr. Enzo Gabriel Rocha,473.526.019-61,62,1962-04-03,ALAGOAS,"condomínio da cunha, 4
unidas
30425743 barbosa / pa"
Maysa Monteiro,615.387.024-44,94,1929-10-27,SANTA CATARINA,"parque henrique teixeira, 32
grotinha
57134822 cunha do sul / rr"
Maria Alice Da Rosa,710.863.549-66,29,1994-05-09,PARAÍBA,"vereda silveira, 8
bom jesus
17672142 costa paulista / rr"
Maysa Lopes,196.075.284-76,60,1963-05-30,MATO GROSSO,"avenida de araújo, 28
esplanada
01624-960 silva verde / rs"
Srta. Yasmin Jesus,586.104.732-44,91,1932-05-28,PARÁ,"fazenda letícia costela, 6
petropolis
61073-640 cardoso do campo / am"
Mariana Costela,372.684.905-00,38,1985-11-09,RIO GRANDE DO NORTE,"campo peixoto, 75
independência
20101298 sales / sc"
Clara Almeida,842.609.735-92,35,1988-11-23,ALAGOAS,"parque eloah costa, 91
são geraldo
63810102 da cunha / rs"
Sofia Aragão,687.231.504-08,35,1988-08-13,MATO GROSSO DO SUL,"rua de santos, 955
ambrosina
57866655 silveira de costela / rs"
Elisa Barros,546.180.379-20,27,1997-01-19,ESPÍRITO SANTO,"estrada sales, 13
jardim felicidade
75253131 silveira grande / rn"
Joana Silva,349.051.867-57,24,1999-09-19,PERNAMBUCO,"chácara miguel fogaça
laranjeiras
52800515 souza verde / pe"
Lorenzo Porto,812.943.670-13,63,1960-05-14,MINAS GERAIS,"avenida de araújo, 1
nossa senhora da aparecida
80268064 farias do norte / go"
Vitória Barbosa,583.672.910-77,47,1976-10-19,SÃO PAULO,"vale de monteiro, 267
marieta 2ª seção
18778381 rocha de novaes / es"
Alícia Da Rosa,035.689.421-51,83,1940-04-05,MARANHÃO,"trecho luana barros, 338
santa maria
59886-064 oliveira dos dourados / mg"
Lucas Monteiro,739.164.508-75,97,1926-12-11,ALAGOAS,"parque enzo almeida, 62
piratininga
40855025 mendes de cardoso / ac"
Rodrigo Caldeira,816.723.954-37,47,1976-12-22,BAHIA,"condomínio joana lima
piratininga
68175-021 aragão / mt"
Luna Rezende,456.197.830-57,51,1972-05-21,RORAIMA,"esplanada matheus da costa, 90
paulo vi
45629272 da cunha do sul / rn"
Diogo Rezende,680.419.253-24,80,1943-12-01,BAHIA,"residencial novaes, 84
vila da amizade
20541475 souza / pi"
Anthony Da Costa,805.693.271-21,65,1959-01-09,SANTA CATARINA,"praia ian da mota, 383
nova cintra
10778-914 azevedo / ro"
Maria Cecília Vieira,716.239.854-55,58,1965-07-10,AMAZONAS,"rodovia emanuel da cruz
nova esperança
55412380 barbosa / pe"
Sra. Maria Julia Novaes,019.487.625-01,42,1981-04-27,PARAÍBA,"ladeira da cruz, 635
coqueiros
88216574 cavalcanti da serra / ba"
João Pedro Peixoto,243.158.976-55,64,1960-02-10,ACRE,"trecho cavalcanti, 3
acaba mundo
20198027 cardoso / pr"
Alana Fernandes,198.257.643-09,47,1976-08-29,TOCANTINS,"estação rocha, 975
marieta 2ª seção
56651-581 cavalcanti de silveira / sc"
Sra. Mirella Rezende,247.910.538-50,50,1973-08-29,ACRE,"vale de cavalcanti, 98
vila havaí
39064-438 da mota / es"
Gabrielly Moreira,608.432.751-62,52,1971-09-18,MATO GROSSO,"lago caldeira, 363
barão homem de melo 1ª seção
77549-927 cardoso / am"
Sra. Sofia Souza,605.384.719-48,90,1933-06-14,GOIÁS,"vila gomes, 366
serra
76107-117 da costa / pb"
Mariane Melo,735.619.820-77,74,1949-12-16,SANTA CATARINA,"rodovia ana beatriz cardoso, 97
etelvina carneiro
35020-490 da costa grande / pr"
Lorena Souza,048.652.197-49,36,1987-06-15,AMAPÁ,"vereda sales, 83
ouro minas
23049-591 da mata / al"
Fernando Da Mata,280.156.437-08,27,1996-06-30,PIAUÍ,"ladeira clara da cruz, 37
aparecida 7ª seção
12075780 mendes de pires / pb"
Laura Cardoso,821.405.736-17,29,1994-04-26,ALAGOAS,"setor de costa, 1
nova america
31050205 da conceição / es"
Marina Da Cruz,724.183.650-26,51,1972-06-21,PIAUÍ,"avenida castro, 718
santo agostinho
39257-743 sales paulista / pe"
Maria Rocha,163.247.980-03,39,1984-11-02,MATO GROSSO DO SUL,"recanto isabel da conceição, 6
vila madre gertrudes 4ª seção
17777517 dias / rs"
Pedro Henrique Almeida,318.764.950-57,46,1977-08-25,AMAPÁ,"núcleo de rodrigues, 95
maria virgínia
67632-408 jesus / am"
Dr. Davi Luiz Nunes,604.579.123-16,88,1935-08-19,AMAPÁ,"setor de barros, 58
vila ouro minas
24854-759 rodrigues / sp"
Vitor Gabriel Costela,175.409.326-43,56,1967-04-15,MATO GROSSO DO SUL,"praia pietra caldeira, 60
túnel de ibirité
60413-374 da mota dos dourados / go"
Dr. Luigi Barbosa,641.739.085-39,99,1924-11-24,DISTRITO FEDERAL,"quadra yasmin caldeira, 4
salgado filho
37428997 moreira do galho / pe"
Rodrigo Azevedo,687.410.953-75,22,2001-12-06,MINAS GERAIS,"praia de nogueira
califórnia
47799937 rodrigues / es"
Pedro Henrique Cardoso,324.017.958-04,50,1973-05-31,ESPÍRITO SANTO,"rua de castro, 65
vila jardim são josé
53839-720 fernandes paulista / pa"
Sr. João Cardoso,032.758.964-74,19,2005-03-03,GOIÁS,"pátio antônio da mota, 79
maria virgínia
80967-589 da luz / pr"
Maria Julia Nunes,381.756.402-35,76,1947-10-09,MATO GROSSO,"setor de ferreira
lorena
53700673 da luz / rn"
Fernanda Duarte,453.216.980-15,23,2000-10-31,AMAZONAS,"vereda da rocha, 6
bandeirantes
97565092 rodrigues do galho / ma"
Marcos Vinicius Oliveira,280.153.796-95,81,1943-03-02,MATO GROSSO DO SUL,"parque de azevedo, 8
lagoinha leblon
23921-386 alves / al"
Leandro Aragão,124.573.098-32,99,1924-10-17,RONDÔNIA,"campo gabriela rodrigues, 9
piraja
67344423 porto do amparo / ac"
Maria Alice Vieira,832.506.714-44,68,1955-05-04,ALAGOAS,"via nogueira, 82
andiroba
03233-852 moraes / se"
