cpf,idade,endereco,bairro,estado
..***.***21,93.0,"ladeira ribeiro, 6",vila santo antônio,PE
..***.***44,82.0,"trevo da cunha, 2",são bento,AL
..***.***26,35.0,"via de nunes, 63",olaria,ES
..***.***02,25.0,"travessa de lopes, 205",mariano de abreu,CE
..***.***92,42.0,"via brenda cunha, 49",vila da ária,AC
..***.***60,54.0,"praça ana luiza fernandes, 5",conjunto jatoba,BA
..***.***64,97.0,recanto melo,conjunto providencia,ES
..***.***68,86.0,"lago de da cunha, 6",custodinha,RN
..***.***79,91.0,chácara joão gabriel nogueira,goiania,MG
..***.***59,48.0,"trecho de rodrigues, 659",alto das antenas,PR
..***.***91,30.0,"residencial gabriela azevedo, 35",vila rica,PI
..***.***50,40.0,"conjunto da conceição, 39",outro,DF
..***.***87,71.0,"campo camila das neves, 14",granja de freitas,MG
..***.***43,88.0,"residencial luiza correia, 598",savassi,ES
..***.***84,27.0,núcleo de caldeira,vila são joão batista,AL
..***.***04,33.0,"lagoa de rodrigues, 23",vila nova,RN
..***.***26,46.0,"viela eloah cunha, 42",vila suzana primeira seção,RS
..***.***60,79.0,"núcleo maria julia cunha, 21",vila santa rosa,PE
..***.***07,36.0,alameda nascimento,vila suzana primeira seção,GO
..***.***50,36.0,"travessa de da rosa, 86",itaipu,PA
..***.***66,59.0,"sítio de costa, 5",pantanal,TO
..***.***46,85.0,campo bernardo barros,conjunto são francisco de assis,MG
..***.***22,99.0,recanto silva,joão paulo ii,SP
..***.***65,40.0,"conjunto almeida, 3",bela vitoria,AC
..***.***05,41.0,"pátio joão lucas cardoso, 77",maria tereza,AM
..***.***46,91.0,"praia luiz gustavo da luz, 83",são joão batista,RO
..***.***89,,"esplanada farias, 252",caetano furquim,GO
..***.***52,25.0,"rodovia de costela, 116",são geraldo,CE
..***.***70,52.0,"quadra vieira, 230",cdi jatoba,RO
..***.***07,45.0,"trecho de caldeira, 369",santa sofia,SE
..***.***49,83.0,"largo joão santos, 10",vila batik,RN
..***.***00,99.0,"setor juliana fogaça, 605",piraja,MA
..***.***53,81.0,"área ana vitória martins, 56",xodo-marize,BA
..***.***07,38.0,"área thomas moraes, 58",canaa,RJ
..***.***57,72.0,"chácara mendes, 64",varzea da palma,PR
..***.***05,22.0,"vale de duarte, 5",horto florestal,AM
..***.***99,78.0,"alameda das neves, 1",planalto,MT
..***.***22,75.0,"viela danilo farias, 54",lagoa,PE
..***.***19,82.0,"favela correia, 6",vila dos anjos,SE
..***.***82,65.0,rodovia maria julia peixoto,jardim guanabara,AC
..***.***34,67.0,"trecho de oliveira, 41",urca,AC
..***.***59,77.0,"lagoa danilo fogaça, 756",nova gameleira,RO
..***.***50,37.0,"colônia de correia, 93",laranjeiras,CE
..***.***41,58.0,"setor oliveira, 4",são josé,MA
..***.***00,83.0,morro de ferreira,vila são joão batista,MG
..***.***03,92.0,"alameda eduardo barros, 60",gameleira,PI
..***.***35,36.0,"área joaquim nogueira, 98",pedreira padro lopes,MA
..***.***12,83.0,"loteamento de nunes, 83",jatobá,PB
..***.***02,59.0,"viela alana souza, 456",união,DF
..***.***07,89.0,"viela de da cruz, 61",bonsucesso,PA
..***.***15,74.0,"esplanada thomas pires, 33",providencia,AP
..***.***43,96.0,estrada da cruz,aparecida,AP
..***.***20,37.0,"residencial de cardoso, 66",vila santo antônio,SE
..***.***05,96.0,"condomínio de nunes, 436",vila betânia,PI
..***.***83,61.0,"morro nunes, 657",ipe,CE
..***.***13,71.0,"praia de campos, 82",vila oeste,SP
..***.***49,43.0,"esplanada marcela castro, 36",flavio de oliveira,PA
..***.***24,67.0,setor luana ramos,nova pampulha,AC
..***.***03,91.0,"esplanada pedro nascimento, 71",vila são paulo,GO
..***.***74,81.0,"favela kaique fogaça, 19",castelo,AL
..***.***49,63.0,rodovia de castro,santa branca,ES
..***.***02,71.0,Endereço inválido,Desconhecido,Estado inválido
..***.***17,33.0,"colônia costa, 81",vera cruz,RO
..***.***65,69.0,"vale vieira, 49",comiteco,RS
..***.***06,69.0,"recanto de moreira, 426",santo agostinho,MT
..***.***83,59.0,"sítio clarice sales, 99",silveira,PB
..***.***43,23.0,sítio azevedo,vila mantiqueira,DF
..***.***21,35.0,recanto de castro,centro,MA
..***.***99,30.0,"estação rafael nunes, 90",jardim são josé,RO
..***.***61,89.0,"viela da rocha, 160",barão homem de melo 2ª seção,BA
..***.***14,36.0,"morro ribeiro, 11",casa branca,GO
..***.***31,86.0,"sítio ramos, 73",cachoeirinha,MG
..***.***73,26.0,"ladeira luiza pinto, 9",conjunto minas caixa,MT
..***.***33,98.0,"lagoa cavalcanti, 12",vila ecológica,SP
..***.***89,90.0,avenida azevedo,santa maria,MA
..***.***44,46.0,"avenida rocha, 13",alta tensão 2ª seção,PI
..***.***42,52.0,"praia moreira, 1",cardoso,SE
..***.***98,52.0,"passarela rocha, 96",buraco quente,SP
..***.***22,48.0,"travessa guilherme carvalho, 7",jonas veiga,MS
..***.***16,68.0,"estação fernandes, 85",nova floresta,GO
..***.***30,68.0,"loteamento thales pires, 51",vila união,RR
..***.***58,41.0,"via vieira, 26",ouro preto,GO
..***.***06,95.0,"quadra amanda martins, 4",universo,MG
..***.***58,63.0,"distrito caldeira, 95",serra,PI
..***.***20,21.0,"distrito de fogaça, 13",pompéia,AP
..***.***34,70.0,"aeroporto de fogaça, 74",vila santa monica 2ª seção,BA
..***.***22,47.0,"trecho de barbosa, 7",são josé,RJ
..***.***22,12.0,trecho da mata,barroca,SC
..***.***73,7.0,"largo theo silva, 91",nossa senhora da conceição,SP
..***.***87,7.0,"pátio de rocha, 4",cinquentenário,MG
..***.***05,11.0,"quadra isabel castro, 40",biquinhas,PI
..***.***77,7.0,"lago de caldeira, 4",beija flor,AC
..***.***09,6.0,"viaduto araújo, 76",são bento,PR
..***.***41,17.0,"loteamento de ferreira, 24",nova suíça,PA
..***.***69,19.0,"ladeira gomes, 10",califórnia,RJ
..***.***33,7.0,"núcleo de da paz, 894",sion,GO
..***.***84,3.0,recanto de melo,nossa senhora do rosário,BA
..***.***38,40.0,"colônia da rocha, 31",jardim américa,RN
..***.***00,94.0,"estrada nogueira, 21",atila de paiva,PB
..***.***23,75.0,rua não cadastrada,bairro não cadastrado,PR
..***.***88,22.0,rua não cadastrada,bairro não cadastrado,RS
..***.***35,42.0,rua não cadastrada,bairro não cadastrado,RJ
..***.***55,54.0,rua não cadastrada,bairro não cadastrado,RS
..***.***00,22.0,rua não cadastrada,bairro não cadastrado,ES
..***.***05,50.0,rua não cadastrada,bairro não cadastrado,AM
..***.***13,100.0,rua não cadastrada,bairro não cadastrado,MG
..***.***02,87.0,rua não cadastrada,bairro não cadastrado,RO
..***.***02,28.0,rua não cadastrada,bairro não cadastrado,MG
..***.***60,59.0,rua não cadastrada,bairro não cadastrado,SP
..***.***98,68.0,rua não cadastrada,bairro não cadastrado,TO
..***.***16,81.0,rua não cadastrada,bairro não cadastrado,MG
..***.***80,57.0,rua não cadastrada,bairro não cadastrado,GO
..***.***40,89.0,rua não cadastrada,bairro não cadastrado,SP
..***.***94,50.0,rua não cadastrada,bairro não cadastrado,GO
..***.***83,45.0,"parque de santos, 88",são joão,PI
